Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.5719,Fri Aug 10 20:04:05 +0000 2018,0.0,0.837,0.163,"A mix of musicians with New York roots celebrate the changing soundscape of the Big Apple. 🚖🇺🇸🗽🍎🎶

@bbcproms: New Y… https://t.co/h2KlqvJ1b6",0,@BBC
-0.3252,Fri Aug 10 18:00:18 +0000 2018,0.152,0.848,0.0,😈 Ever wondered what happens if you don't say 'bless you' after someone sneezes? https://t.co/7u0MPlOxuI,1,@BBC
0.0,Fri Aug 10 15:59:00 +0000 2018,0.0,1.0,0.0,Exact plans for this weekend... 😴 #FridayFeeling https://t.co/Qs7CVmNqUM,2,@BBC
0.1027,Fri Aug 10 14:20:17 +0000 2018,0.076,0.833,0.091,"RT @BBC_Future: If we cut the time moving our eyes, can we read at much greater speeds? Give speed-reading a try yourself in this video. ht…",3,@BBC
0.6696,Fri Aug 10 13:45:48 +0000 2018,0.0,0.824,0.176,"RT @BBCR1: Voting for the #R1TeenAwards is now open! 

Who gets your vote for Best International Solo Artist?

Full terms + privacy notice…",4,@BBC
-0.296,Fri Aug 10 13:04:05 +0000 2018,0.155,0.845,0.0,"Could your drinking habits stop you from getting a mortgage? 🍻🏡

📻👉 https://t.co/bBSqFrB1bV https://t.co/JWVH9hv7iH",5,@BBC
0.4019,Fri Aug 10 12:01:06 +0000 2018,0.0,0.769,0.231,😂 When you need an adult to help you adult. https://t.co/dmTAtQG1hp,6,@BBC
0.3182,Fri Aug 10 11:03:03 +0000 2018,0.0,0.901,0.099,🐊👩‍🎓 A US college student has made sure her graduation snaps are ones to remember - after posing in her cap and sas… https://t.co/Yuwif9uJ9o,7,@BBC
0.7281,Fri Aug 10 10:03:05 +0000 2018,0.0,0.71,0.29,"This brave little lizard clearly hasn't heard of the phrase 'never wake a sleeping lion'! 🦁🦎
 #WorldLionDay

https://t.co/F8oMgbsWok",8,@BBC
0.0,Fri Aug 10 08:49:05 +0000 2018,0.0,1.0,0.0,RT @BBCNewsbeat: Stick it in your diary! @gregjames has just announced he’ll be on the @bbcr1 Breakfast Show from Monday 20th August. https…,9,@BBC
0.0,Fri Aug 10 08:48:28 +0000 2018,0.0,1.0,0.0,"RT @bbcweather: So far this summer, we've had 26 days of 30C or over and 65 days of 25C or over. 
In 1976 we saw 24 days above 30C. 
30C+ d…",10,@BBC
0.3612,Fri Aug 10 08:00:21 +0000 2018,0.0,0.828,0.172,"🦏🚨 This is what it looks like when rhinos get road rage...

https://t.co/01oliiia90",11,@BBC
0.4472,Fri Aug 10 07:25:08 +0000 2018,0.0,0.882,0.118,"By distinguishing future from present in what we say, can we end up saving less and even caring less for the enviro… https://t.co/L78chQm5nu",12,@BBC
0.0,Fri Aug 10 07:00:20 +0000 2018,0.0,1.0,0.0,"💅🏻 84-year-old Maisie Trollette has performed at every single #BrightonPride since 1973.
Could she be Britain's old… https://t.co/2fhpNHgMS5",13,@BBC
0.0,Thu Aug 09 18:05:04 +0000 2018,0.0,1.0,0.0,"😂 Say it with us - ""pooper scooper"". 
#TheGNShow https://t.co/LzGNbCvOcN",14,@BBC
0.5719,Thu Aug 09 17:31:08 +0000 2018,0.0,0.684,0.316,"Everyone loves Colin Firth as Mr Darcy... 😍#PrideAndPrejudice 

https://t.co/9q59u7LNVg",15,@BBC
0.0,Thu Aug 09 16:17:46 +0000 2018,0.0,1.0,0.0,"Gemma Arterton, Catherine Tate, @Gemma_Chan, @EmiliaClarke, @IAmLenaHeadey, Anthony Welsh, @KT_Leung, @WunMo,… https://t.co/HgPtbdYJsr",16,@BBC
0.0,Thu Aug 09 16:03:02 +0000 2018,0.0,1.0,0.0,"😂 Remember the time Attenborough said 'BOO!' to a sloth?

#LifeOfMammals https://t.co/x8UxG2gTpL",17,@BBC
0.1581,Thu Aug 09 15:24:00 +0000 2018,0.124,0.727,0.149,"'It's not rocket science darling. We’re just asking you to be thin and curvy, sexy and innocent!’

Acting auditions… https://t.co/EtW7o6NppW",18,@BBC
0.0,Thu Aug 09 14:02:06 +0000 2018,0.0,1.0,0.0,"🤔😂 How did Shakespeare invent all those clichés? And how can he be stopped?! 
#BookLoversDay https://t.co/sCmnhZiv4G",19,@BBC
0.4939,Thu Aug 09 13:01:04 +0000 2018,0.0,0.862,0.138,"🤘 Think you're too old for moshing? 

Spare a thought for the two elderly men who escaped a German care home and we… https://t.co/G3D6xPG9Az",20,@BBC
0.3612,Thu Aug 09 12:02:04 +0000 2018,0.0,0.783,0.217,Imagine what life would be like without fossil fuels. https://t.co/yxpDahGwms,21,@BBC
0.0,Thu Aug 09 11:01:07 +0000 2018,0.0,1.0,0.0,"🥗 Thinking of going vegetarian?

Here are a few facts and nutritional tips to get you started.
👉… https://t.co/P4ycKKb7t5",22,@BBC
0.5859,Thu Aug 09 10:21:23 +0000 2018,0.0,0.847,0.153,"RT @bbcnewcomedy18: Meet the acts taking part in our LIVE final, this Sunday at 6.15pm on @BBCRadio4, hosted by the brilliant @watsoncomedi…",23,@BBC
